Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2023 Q4	San Diego, CA	25%	1,239	+9%
2023 Q4	San Francisco, CA	22%	454	+0%
2023 Q4	San Jose, CA	17%	444	+22%
2023 Q4	Seattle, WA	11%	472	-7%
2023 Q4	Tampa, FL	22%	2,442	-7%
2023 Q4	Virginia Beach, VA	14%	686	-7%
2023 Q4	Warren, MI	11%	776	+9%
2023 Q4	Washington, DC	11%	1,189	-2%
2023 Q4	West Palm Beach, FL	20%	1,248	-13%
2023 Q3	National	17%	53,158	-27%
2023 Q3	Anaheim, CA	22%	1,195	-11%
2023 Q3	Atlanta, GA	19%	3,890	-49%
2023 Q3	Baltimore, MD	17%	1,318	-24%
2023 Q3	Charlotte, NC	20%	1,590	-44%
2023 Q3	Chicago, IL	12%	2,196	-22%
2023 Q3	Cincinnati, OH	19%	1,139	-20%
2023 Q3	Cleveland, OH	21%	1,343	-18%
2023 Q3	Columbus, OH	15%	1,030	-31%
2023 Q3	Denver, CO	15%	1,330	-30%
2023 Q3	Fort Lauderdale, FL	21%	1,691	-15%
2023 Q3	Jacksonville, FL	21%	1,179	-45%
2023 Q3	Las Vegas, NV	22%	1,371	-42%
2023 Q3	Los Angeles, CA	21%	2,698	-13%
2023 Q3	Miami, FL	32%	2,549	-10%
2023 Q3	Milwaukee, WI	14%	651	-12%
2023 Q3	Minneapolis, MN	10%	1,226	-24%
2023 Q3	Montgomery County, PA	10%	579	-1%
2023 Q3	Nashville, TN	18%	1,221	-34%
2023 Q3	New Brunswick, NJ	12%	993	-10%
2023 Q3	New York, NY	17%	2,391	-22%
2023 Q3	Newark, NJ	13%	778	-14%
2023 Q3	Oakland, CA	16%	852	-6%
2023 Q3	Orlando, FL	23%	2,195	-32%
2023 Q3	Philadelphia, PA	17%	931	-25%
2023 Q3	Phoenix, AZ	20%	2,766	-45%
2023 Q3	Portland, OR	12%	620	-21%
2023 Q3	Providence, RI	9%	242	-17%
2023 Q3	Riverside, CA	19%	1,571	-16%
2023 Q3	Sacramento, CA	19%	1,109	-5%
2023 Q3	San Diego, CA	23%	1,431	-9%
2023 Q3	San Francisco, CA	21%	469	-17%
2023 Q3	San Jose, CA	16%	486	-9%
2023 Q3	Seattle, WA	9%	547	-29%
2023 Q3	Tampa, FL	19%	2,335	-37%
2023 Q3	Virginia Beach, VA	12%	823	-15%
2023 Q3	Warren, MI	10%	877	-3%
2023 Q3	Washington, DC	9%	1,151	-21%
2023 Q3	West Palm Beach, FL	18%	1,361	-5%
2023 Q2	National	17%	54,857	-43%
2023 Q2	Anaheim, CA	21%	1,193	-27%
2023 Q2	Atlanta, GA	19%	4,050	-63%
2023 Q2	Baltimore, MD	18%	1,585	-27%
2023 Q2	Charlotte, NC	17%	1,540	-60%
2023 Q2	Chicago, IL	12%	2,226	-13%
2023 Q2	Cincinnati, OH	20%	1,116	-29%
2023 Q2	Cleveland, OH	22%	1,216	-25%
2023 Q2	Columbus, OH	16%	975	-42%
2023 Q2	Denver, CO	13%	1,331	-52%
2023 Q2	Fort Lauderdale, FL	20%	1,815	-31%
2023 Q2	Jacksonville, FL	22%	1,270	-63%
2023 Q2	Las Vegas, NV	19%	1,539	-63%
2023 Q2	Los Angeles, CA	19%	2,640	-34%
2023 Q2	Miami, FL	32%	2,698	-39%
2023 Q2	Milwaukee, WI	15%	635	-30%
2023 Q2	Minneapolis, MN	11%	1,144	-35%
2023 Q2	Montgomery County, PA	10%	485	-27%
2023 Q2	Nashville, TN	17%	1,201	-49%
2023 Q2	New Brunswick, NJ	12%	898	-25%
2023 Q2	New York, NY	19%	2,151	-21%
2023 Q2	Newark, NJ	13%	666	-31%
2023 Q2	Oakland, CA	15%	860	-31%
2023 Q2	Orlando, FL	22%	2,257	-47%
2023 Q2	Philadelphia, PA	18%	1,003	-28%
2023 Q2	Phoenix, AZ	18%	3,303	-62%
2023 Q2	Portland, OR	13%	648	-34%
2023 Q2	Providence, RI	9%	261	-20%
2023 Q2	Riverside, CA	19%	1,811	-36%
2023 Q2	Sacramento, CA	17%	1,022	-38%
2023 Q2	San Diego, CA	22%	1,497	-30%
2023 Q2	San Francisco, CA	21%	509	-31%
2023 Q2	San Jose, CA	16%	528	-29%
2023 Q2	Seattle, WA	11%	683	-24%
2023 Q2	Tampa, FL	17%	2,659	-48%
2023 Q2	Virginia Beach, VA	11%	801	-31%
2023 Q2	Warren, MI	10%	789	-25%
2023 Q2	Washington, DC	9%	1,235	-32%
2023 Q2	West Palm Beach, FL	18%	1,609	-22%
2023 Q1	National	19%	45,812	-47%
2023 Q1	Anaheim, CA	22%	915	-34%
2023 Q1	Atlanta, GA	21%	3,298	-65%
2023 Q1	Baltimore, MD	23%	1,744	-9%
2023 Q1	Charlotte, NC	20%	1,325	-64%
2023 Q1	Chicago, IL	15%	1,931	-35%
2023 Q1	Cincinnati, OH	23%	1,027	-26%
2023 Q1	Cleveland, OH	26%	1,109	-22%
2023 Q1	Columbus, OH	20%	904	-44%
2023 Q1	Denver, CO	14%	971	-51%
2023 Q1	Fort Lauderdale, FL	20%	1,338	-46%
2023 Q1	Jacksonville, FL	24%	1,189	-56%
2023 Q1	Las Vegas, NV	21%	1,403	-58%
2023 Q1	Los Angeles, CA	20%	2,135	-40%
2023 Q1	Miami, FL	34%	2,119	-42%
2023 Q1	Milwaukee, WI	20%	536	-22%
2023 Q1	Minneapolis, MN	12%	812	-40%
2023 Q1	Montgomery County, PA	10%	384	-45%
2023 Q1	Nashville, TN	17%	841	-57%
2023 Q1	New Brunswick, NJ	15%	892	-24%
2023 Q1	New York, NY	21%	2,149	-30%
2023 Q1	Newark, NJ	16%	668	-36%
2023 Q1	Oakland, CA	14%	549	-38%
2023 Q1	Orlando, FL	24%	1,923	-49%
2023 Q1	Philadelphia, PA	20%	894	-57%
2023 Q1	Phoenix, AZ	20%	2,886	-62%
2023 Q1	Portland, OR	12%	435	-45%
2023 Q1	Providence, RI	11%	212	-16%
2023 Q1	Riverside, CA	19%	1,401	-48%
2023 Q1	Sacramento, CA	17%	715	-49%
2023 Q1	San Diego, CA	22%	1,142	-36%
2023 Q1	San Francisco, CA	22%	370	-31%
2023 Q1	San Jose, CA	16%	317	-38%
2023 Q1	Seattle, WA	13%	534	-22%
2023 Q1	Tampa, FL	19%	2,168	-53%
2023 Q1	Virginia Beach, VA	14%	699	-34%
2023 Q1	Warren, MI	11%	694	-37%
2023 Q1	Washington, DC	11%	1,086	-32%
