Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2015 Q3	Jacksonville, FL	15%	813	+31%
2015 Q3	Las Vegas, NV	12%	1,131	-7%
2015 Q3	Los Angeles, CA	15%	3,014	+8%
2015 Q3	Miami, FL	32%	2,757	+5%
2015 Q3	Milwaukee, WI	8%	443	+20%
2015 Q3	Minneapolis, MN	6%	1,033	-7%
2015 Q3	Montgomery County, PA	4%	316	-8%
2015 Q3	Nashville, TN	11%	1,060	+29%
2015 Q3	New Brunswick, NJ	8%	707	+20%
2015 Q3	New York, NY	14%	2,192	+9%
2015 Q3	Newark, NJ	7%	433	-4%
2015 Q3	Oakland, CA	10%	820	+14%
2015 Q3	Orlando, FL	17%	1,675	+30%
2015 Q3	Philadelphia, PA	11%	664	+45%
2015 Q3	Phoenix, AZ	15%	3,191	+34%
2015 Q3	Portland, OR	8%	942	+36%
2015 Q3	Providence, RI	5%	162	-18%
2015 Q3	Riverside, CA	9%	1,374	-2%
2015 Q3	Sacramento, CA	11%	968	+21%
2015 Q3	San Diego, CA	15%	1,501	+10%
2015 Q3	San Francisco, CA	16%	514	-4%
2015 Q3	San Jose, CA	11%	521	+9%
2015 Q3	Seattle, WA	7%	918	+25%
2015 Q3	Tampa, FL	15%	2,041	+27%
2015 Q3	Virginia Beach, VA	8%	408	-5%
2015 Q3	Warren, MI	7%	847	+16%
2015 Q3	Washington, DC	6%	997	-3%
2015 Q3	West Palm Beach, FL	17%	1,459	+6%
2015 Q2	National	12%	45,633	+7%
2015 Q2	Anaheim, CA	13%	1,180	+14%
2015 Q2	Atlanta, GA	13%	2,844	-7%
2015 Q2	Baltimore, MD	8%	675	+9%
2015 Q2	Charlotte, NC	12%	1,092	+26%
2015 Q2	Chicago, IL	9%	1,494	+1%
2015 Q2	Cincinnati, OH	9%	574	+2%
2015 Q2	Cleveland, OH	8%	478	+9%
2015 Q2	Columbus, OH	8%	524	+14%
2015 Q2	Denver, CO	10%	1,621	+15%
2015 Q2	Fort Lauderdale, FL	20%	1,931	-3%
2015 Q2	Jacksonville, FL	14%	727	+23%
2015 Q2	Las Vegas, NV	14%	1,302	-8%
2015 Q2	Los Angeles, CA	15%	3,025	+4%
2015 Q2	Miami, FL	35%	3,004	+4%
2015 Q2	Milwaukee, WI	7%	323	+20%
2015 Q2	Minneapolis, MN	7%	958	+0%
2015 Q2	Montgomery County, PA	5%	291	+16%
2015 Q2	Nashville, TN	11%	949	+26%
2015 Q2	New Brunswick, NJ	10%	657	+17%
2015 Q2	New York, NY	17%	1,910	+7%
2015 Q2	Newark, NJ	10%	425	+13%
2015 Q2	Oakland, CA	9%	798	+14%
2015 Q2	Orlando, FL	17%	1,525	+16%
2015 Q2	Philadelphia, PA	11%	528	+26%
2015 Q2	Phoenix, AZ	14%	3,356	+4%
2015 Q2	Portland, OR	8%	841	+26%
2015 Q2	Providence, RI	7%	173	-11%
2015 Q2	Riverside, CA	11%	1,606	+2%
2015 Q2	Sacramento, CA	10%	871	+6%
2015 Q2	San Diego, CA	14%	1,520	+4%
2015 Q2	San Francisco, CA	19%	669	+3%
2015 Q2	San Jose, CA	11%	572	+12%
2015 Q2	Seattle, WA	7%	910	+19%
2015 Q2	Tampa, FL	14%	2,030	+17%
2015 Q2	Virginia Beach, VA	9%	457	+20%
2015 Q2	Warren, MI	9%	809	+27%
2015 Q2	Washington, DC	6%	972	-5%
2015 Q2	West Palm Beach, FL	17%	1,588	-4%
2015 Q1	National	14%	35,235	+3%
2015 Q1	Anaheim, CA	14%	807	-2%
2015 Q1	Atlanta, GA	17%	2,199	-15%
2015 Q1	Baltimore, MD	11%	517	+6%
2015 Q1	Charlotte, NC	15%	792	+9%
2015 Q1	Chicago, IL	11%	1,048	-5%
2015 Q1	Cincinnati, OH	12%	480	+17%
2015 Q1	Cleveland, OH	11%	348	+14%
2015 Q1	Columbus, OH	10%	357	+10%
2015 Q1	Denver, CO	11%	1,057	+10%
2015 Q1	Fort Lauderdale, FL	22%	1,506	-12%
2015 Q1	Jacksonville, FL	18%	597	+25%
2015 Q1	Las Vegas, NV	16%	1,066	-25%
2015 Q1	Los Angeles, CA	16%	2,263	+5%
2015 Q1	Miami, FL	38%	2,491	-2%
2015 Q1	Milwaukee, WI	11%	238	+9%
2015 Q1	Minneapolis, MN	9%	663	-17%
2015 Q1	Montgomery County, PA	6%	206	+0%
2015 Q1	Nashville, TN	15%	800	+56%
2015 Q1	New Brunswick, NJ	11%	492	+16%
2015 Q1	New York, NY	18%	1,898	+17%
2015 Q1	Newark, NJ	12%	409	+76%
2015 Q1	Oakland, CA	12%	588	+25%
2015 Q1	Orlando, FL	20%	1,226	+8%
2015 Q1	Philadelphia, PA	15%	477	+52%
2015 Q1	Phoenix, AZ	15%	2,550	+3%
2015 Q1	Portland, OR	9%	559	+16%
2015 Q1	Providence, RI	9%	133	+4%
2015 Q1	Riverside, CA	12%	1,258	-11%
2015 Q1	Sacramento, CA	12%	659	+11%
2015 Q1	San Diego, CA	16%	1,111	-6%
2015 Q1	San Francisco, CA	18%	386	-10%
2015 Q1	San Jose, CA	12%	350	-8%
2015 Q1	Seattle, WA	8%	585	+23%
2015 Q1	Tampa, FL	17%	1,596	+18%
2015 Q1	Virginia Beach, VA	11%	334	+10%
2015 Q1	Warren, MI	10%	668	+16%
2015 Q1	Washington, DC	8%	755	-7%
2015 Q1	West Palm Beach, FL	19%	1,232	-9%
2014 Q4	National	13%	39,354	+2%
2014 Q4	Anaheim, CA	14%	867	+1%
2014 Q4	Atlanta, GA	15%	2,536	-15%
2014 Q4	Baltimore, MD	10%	644	+19%
2014 Q4	Charlotte, NC	15%	969	+33%
2014 Q4	Chicago, IL	11%	1,598	+5%
2014 Q4	Cincinnati, OH	10%	492	+13%
2014 Q4	Cleveland, OH	10%	423	+15%
2014 Q4	Columbus, OH	9%	459	+40%
2014 Q4	Denver, CO	10%	1,256	+11%
2014 Q4	Fort Lauderdale, FL	22%	1,720	-3%
2014 Q4	Jacksonville, FL	18%	687	+16%
2014 Q4	Las Vegas, NV	16%	1,064	-24%
2014 Q4	Los Angeles, CA	15%	2,520	-5%
2014 Q4	Miami, FL	37%	2,908	-6%
2014 Q4	Milwaukee, WI	10%	327	+13%
2014 Q4	Minneapolis, MN	9%	949	-23%
2014 Q4	Montgomery County, PA	6%	319	+17%
2014 Q4	Nashville, TN	15%	749	+48%
2014 Q4	New Brunswick, NJ	9%	582	+13%
2014 Q4	New York, NY	16%	1,959	+6%
2014 Q4	Newark, NJ	10%	467	+30%
2014 Q4	Oakland, CA	9%	591	+7%
2014 Q4	Orlando, FL	20%	1,376	+16%
2014 Q4	Philadelphia, PA	11%	458	+24%
2014 Q4	Phoenix, AZ	15%	2,388	-4%
2014 Q4	Portland, OR	8%	603	+15%
2014 Q4	Providence, RI	9%	199	+14%
2014 Q4	Riverside, CA	12%	1,289	-8%
2014 Q4	Sacramento, CA	10%	654	-1%
2014 Q4	San Diego, CA	15%	1,156	-6%
2014 Q4	San Francisco, CA	16%	492	-9%
2014 Q4	San Jose, CA	12%	439	+5%
2014 Q4	Seattle, WA	8%	673	+21%
2014 Q4	Tampa, FL	16%	1,649	+14%
2014 Q4	Virginia Beach, VA	10%	386	+6%
2014 Q4	Warren, MI	8%	699	+12%
2014 Q4	Washington, DC	7%	862	+1%
2014 Q4	West Palm Beach, FL	20%	1,438	+2%
2014 Q3	National	12%	41,822	-2%
2014 Q3	Anaheim, CA	14%	1,000	-5%
2014 Q3	Atlanta, GA	15%	2,931	-1%
2014 Q3	Baltimore, MD	8%	569	+5%
2014 Q3	Charlotte, NC	14%	1,071	+26%
2014 Q3	Chicago, IL	9%	1,621	-9%
2014 Q3	Cincinnati, OH	10%	641	+24%
2014 Q3	Cleveland, OH	9%	496	+33%
2014 Q3	Columbus, OH	8%	560	+32%
2014 Q3	Denver, CO	9%	1,547	+16%
2014 Q3	Fort Lauderdale, FL	21%	1,760	+0%
2014 Q3	Jacksonville, FL	15%	621	-5%
2014 Q3	Las Vegas, NV	16%	1,215	-31%
2014 Q3	Los Angeles, CA	15%	2,779	+3%
2014 Q3	Miami, FL	36%	2,635	-9%
2014 Q3	Milwaukee, WI	8%	370	+0%
2014 Q3	Minneapolis, MN	8%	1,116	-18%
2014 Q3	Montgomery County, PA	5%	342	+9%
2014 Q3	Nashville, TN	11%	822	+34%
2014 Q3	New Brunswick, NJ	7%	588	+7%
2014 Q3	New York, NY	15%	2,010	-1%
2014 Q3	Newark, NJ	8%	450	+22%
2014 Q3	Oakland, CA	9%	718	+12%
2014 Q3	Orlando, FL	17%	1,284	-2%
2014 Q3	Philadelphia, PA	10%	458	+17%
2014 Q3	Phoenix, AZ	13%	2,380	-29%
2014 Q3	Portland, OR	8%	691	+3%
2014 Q3	Providence, RI	8%	198	+16%
2014 Q3	Riverside, CA	11%	1,404	-14%
2014 Q3	Sacramento, CA	10%	800	-8%
2014 Q3	San Diego, CA	16%	1,367	-2%
2014 Q3	San Francisco, CA	16%	538	+1%
2014 Q3	San Jose, CA	11%	478	+9%
2014 Q3	Seattle, WA	7%	736	+10%
2014 Q3	Tampa, FL	15%	1,602	-12%
2014 Q3	Virginia Beach, VA	9%	429	+17%
2014 Q3	Warren, MI	7%	730	+2%
2014 Q3	Washington, DC	7%	1,029	+16%
2014 Q3	West Palm Beach, FL	19%	1,370	-2%
2014 Q2	National	13%	42,793	-3%
2014 Q2	Anaheim, CA	14%	1,038	-5%
2014 Q2	Atlanta, GA	17%	3,044	+8%
2014 Q2	Baltimore, MD	9%	621	+5%
2014 Q2	Charlotte, NC	12%	865	-10%
2014 Q2	Chicago, IL	11%	1,481	-2%
2014 Q2	Cincinnati, OH	10%	561	+15%
2014 Q2	Cleveland, OH	9%	439	-3%
2014 Q2	Columbus, OH	8%	461	+26%
2014 Q2	Denver, CO	9%	1,411	+7%
2014 Q2	Fort Lauderdale, FL	23%	1,992	+9%
2014 Q2	Jacksonville, FL	16%	591	-22%
2014 Q2	Las Vegas, NV	18%	1,418	-30%
2014 Q2	Los Angeles, CA	16%	2,915	+2%
2014 Q2	Miami, FL	37%	2,880	+1%
2014 Q2	Milwaukee, WI	7%	269	-1%
2014 Q2	Minneapolis, MN	10%	958	-13%
2014 Q2	Montgomery County, PA	6%	250	-6%
2014 Q2	Nashville, TN	10%	756	+17%
2014 Q2	New Brunswick, NJ	9%	560	+9%
2014 Q2	New York, NY	17%	1,788	+5%
2014 Q2	Newark, NJ	9%	375	+16%
2014 Q2	Oakland, CA	9%	698	+9%
2014 Q2	Orlando, FL	19%	1,320	-4%
2014 Q2	Philadelphia, PA	10%	418	+6%
2014 Q2	Phoenix, AZ	16%	3,232	-23%
2014 Q2	Portland, OR	8%	670	-8%
2014 Q2	Providence, RI	8%	195	-1%
2014 Q2	Riverside, CA	12%	1,573	-21%
2014 Q2	Sacramento, CA	11%	823	-17%
2014 Q2	San Diego, CA	16%	1,460	+2%
2014 Q2	San Francisco, CA	18%	648	+20%
2014 Q2	San Jose, CA	11%	510	+3%
2014 Q2	Seattle, WA	8%	764	+15%
2014 Q2	Tampa, FL	16%	1,732	-19%
2014 Q2	Virginia Beach, VA	9%	381	+8%
2014 Q2	Warren, MI	8%	639	+8%
2014 Q2	Washington, DC	7%	1,019	+2%
2014 Q2	West Palm Beach, FL	20%	1,656	+15%
2014 Q1	National	16%	34,347	+7%
2014 Q1	Anaheim, CA	15%	821	+10%
2014 Q1	Atlanta, GA	23%	2,581	+18%
2014 Q1	Baltimore, MD	11%	490	+10%
2014 Q1	Charlotte, NC	16%	725	+25%
2014 Q1	Chicago, IL	13%	1,100	+10%
2014 Q1	Cincinnati, OH	13%	410	+14%
2014 Q1	Cleveland, OH	11%	305	+6%
2014 Q1	Columbus, OH	11%	326	+19%
2014 Q1	Denver, CO	11%	962	+14%
2014 Q1	Fort Lauderdale, FL	25%	1,708	+15%
2014 Q1	Jacksonville, FL	19%	479	-23%
2014 Q1	Las Vegas, NV	23%	1,419	-4%
2014 Q1	Los Angeles, CA	16%	2,154	+5%
2014 Q1	Miami, FL	39%	2,533	+8%
2014 Q1	Milwaukee, WI	11%	219	+11%
2014 Q1	Minneapolis, MN	13%	800	+6%
2014 Q1	Montgomery County, PA	7%	207	+13%
2014 Q1	Nashville, TN	11%	514	+29%
2014 Q1	New Brunswick, NJ	10%	424	+23%
2014 Q1	New York, NY	17%	1,622	+20%
2014 Q1	Newark, NJ	9%	232	-7%
2014 Q1	Oakland, CA	10%	472	-9%
2014 Q1	Orlando, FL	21%	1,137	+1%
2014 Q1	Philadelphia, PA	11%	313	+8%
2014 Q1	Phoenix, AZ	16%	2,486	-16%
2014 Q1	Portland, OR	9%	482	+13%
2014 Q1	Providence, RI	9%	128	-2%
2014 Q1	Riverside, CA	14%	1,412	+4%
2014 Q1	Sacramento, CA	12%	596	-12%
2014 Q1	San Diego, CA	18%	1,186	+16%
2014 Q1	San Francisco, CA	18%	430	+23%
2014 Q1	San Jose, CA	13%	382	+37%
2014 Q1	Seattle, WA	8%	475	+23%
2014 Q1	Tampa, FL	18%	1,354	-7%
2014 Q1	Virginia Beach, VA	11%	304	+9%
2014 Q1	Warren, MI	10%	575	+26%
2014 Q1	Washington, DC	9%	813	+9%
2014 Q1	West Palm Beach, FL	22%	1,355	+24%
2013 Q4	National	14%	38,577	+18%
2013 Q4	Anaheim, CA	14%	862	+11%
2013 Q4	Atlanta, GA	21%	2,994	+47%
2013 Q4	Baltimore, MD	10%	539	+7%
2013 Q4	Charlotte, NC	14%	728	+29%
2013 Q4	Chicago, IL	12%	1,522	+43%
2013 Q4	Cincinnati, OH	10%	434	-8%
2013 Q4	Cleveland, OH	9%	367	+22%
2013 Q4	Columbus, OH	8%	329	-3%
2013 Q4	Denver, CO	10%	1,131	+17%
2013 Q4	Fort Lauderdale, FL	24%	1,778	+21%
2013 Q4	Jacksonville, FL	18%	593	+15%
2013 Q4	Las Vegas, NV	21%	1,398	+19%
2013 Q4	Los Angeles, CA	16%	2,655	+6%
2013 Q4	Miami, FL	41%	3,080	+30%
2013 Q4	Milwaukee, WI	10%	289	+41%
2013 Q4	Minneapolis, MN	12%	1,237	+63%
2013 Q4	Montgomery County, PA	6%	273	+25%
2013 Q4	Nashville, TN	9%	506	-3%
2013 Q4	New Brunswick, NJ	8%	515	+40%
2013 Q4	New York, NY	15%	1,843	+57%
2013 Q4	Newark, NJ	8%	358	+46%
2013 Q4	Oakland, CA	9%	552	+2%
2013 Q4	Orlando, FL	20%	1,182	+7%
2013 Q4	Philadelphia, PA	10%	370	+8%
2013 Q4	Phoenix, AZ	16%	2,485	-15%
2013 Q4	Portland, OR	8%	526	+0%
2013 Q4	Providence, RI	8%	175	-1%
2013 Q4	Riverside, CA	13%	1,405	+11%
2013 Q4	Sacramento, CA	11%	663	-29%
2013 Q4	San Diego, CA	16%	1,225	+16%
2013 Q4	San Francisco, CA	17%	539	+15%
2013 Q4	San Jose, CA	10%	420	+10%
2013 Q4	Seattle, WA	7%	554	+10%
2013 Q4	Tampa, FL	17%	1,445	+0%
2013 Q4	Virginia Beach, VA	11%	363	+29%
2013 Q4	Warren, MI	8%	625	+51%
2013 Q4	Washington, DC	8%	857	+7%
2013 Q4	West Palm Beach, FL	21%	1,415	+73%
2013 Q3	National	13%	42,798	+51%
2013 Q3	Anaheim, CA	13%	1,052	+34%
2013 Q3	Atlanta, GA	18%	2,975	+112%
2013 Q3	Baltimore, MD	8%	541	+34%
2013 Q3	Charlotte, NC	13%	852	+75%
2013 Q3	Chicago, IL	11%	1,774	+95%
2013 Q3	Cincinnati, OH	9%	519	+24%
2013 Q3	Cleveland, OH	7%	372	+22%
2013 Q3	Columbus, OH	7%	424	+42%
2013 Q3	Denver, CO	9%	1,336	+56%
2013 Q3	Fort Lauderdale, FL	22%	1,765	+72%
2013 Q3	Jacksonville, FL	18%	657	+43%
2013 Q3	Las Vegas, NV	24%	1,772	+91%
2013 Q3	Los Angeles, CA	15%	2,696	+42%
2013 Q3	Miami, FL	38%	2,881	+56%
2013 Q3	Milwaukee, WI	8%	371	+34%
2013 Q3	Minneapolis, MN	10%	1,369	+65%
2013 Q3	Montgomery County, PA	5%	314	+38%
2013 Q3	Nashville, TN	9%	613	+32%
2013 Q3	New Brunswick, NJ	7%	550	+54%
2013 Q3	New York, NY	13%	2,027	+53%
2013 Q3	Newark, NJ	6%	370	+33%
2013 Q3	Oakland, CA	9%	639	+33%
2013 Q3	Orlando, FL	19%	1,311	+53%
2013 Q3	Philadelphia, PA	8%	392	+30%
2013 Q3	Phoenix, AZ	18%	3,345	+14%
2013 Q3	Portland, OR	8%	674	+25%
2013 Q3	Providence, RI	6%	171	+4%
2013 Q3	Riverside, CA	13%	1,637	+60%
2013 Q3	Sacramento, CA	12%	871	+40%
2013 Q3	San Diego, CA	15%	1,397	+42%
2013 Q3	San Francisco, CA	15%	535	+34%
2013 Q3	San Jose, CA	9%	439	+27%
2013 Q3	Seattle, WA	7%	667	+37%
2013 Q3	Tampa, FL	18%	1,823	+79%
2013 Q3	Virginia Beach, VA	8%	367	+27%
2013 Q3	Warren, MI	7%	718	+75%
2013 Q3	Washington, DC	6%	885	+6%
2013 Q3	West Palm Beach, FL	19%	1,394	+94%
2013 Q2	National	14%	44,203	+66%
2013 Q2	Anaheim, CA	14%	1,092	+63%
2013 Q2	Atlanta, GA	20%	2,808	+170%
2013 Q2	Baltimore, MD	9%	594	+11%
2013 Q2	Charlotte, NC	15%	964	+126%
2013 Q2	Chicago, IL	12%	1,508	+91%
2013 Q2	Cincinnati, OH	9%	486	+36%
2013 Q2	Cleveland, OH	10%	452	+56%
2013 Q2	Columbus, OH	7%	365	+34%
2013 Q2	Denver, CO	10%	1,324	+56%
2013 Q2	Fort Lauderdale, FL	22%	1,828	+56%
2013 Q2	Jacksonville, FL	20%	753	+115%
2013 Q2	Las Vegas, NV	28%	2,038	+129%
2013 Q2	Los Angeles, CA	16%	2,852	+71%
2013 Q2	Miami, FL	37%	2,861	+60%
2013 Q2	Milwaukee, WI	8%	272	+11%
2013 Q2	Minneapolis, MN	11%	1,100	+54%
2013 Q2	Montgomery County, PA	5%	266	+26%
2013 Q2	Nashville, TN	10%	644	+88%
2013 Q2	New Brunswick, NJ	9%	512	+34%
2013 Q2	New York, NY	15%	1,696	+39%
2013 Q2	Newark, NJ	8%	323	+71%
2013 Q2	Oakland, CA	9%	642	+40%
2013 Q2	Orlando, FL	21%	1,373	+66%
2013 Q2	Philadelphia, PA	9%	395	+41%
2013 Q2	Phoenix, AZ	20%	4,199	+46%
2013 Q2	Portland, OR	9%	730	+57%
2013 Q2	Providence, RI	8%	196	+33%
2013 Q2	Riverside, CA	17%	1,987	+96%
2013 Q2	Sacramento, CA	14%	997	+102%
2013 Q2	San Diego, CA	16%	1,430	+60%
2013 Q2	San Francisco, CA	15%	539	+17%
2013 Q2	San Jose, CA	10%	493	+29%
2013 Q2	Seattle, WA	7%	667	+45%
2013 Q2	Tampa, FL	20%	2,131	+110%
2013 Q2	Virginia Beach, VA	9%	353	+21%
2013 Q2	Warren, MI	9%	590	+83%
2013 Q2	Washington, DC	6%	995	+14%
2013 Q2	West Palm Beach, FL	18%	1,434	+88%
2013 Q1	National	16%	32,067	+64%
2013 Q1	Anaheim, CA	14%	744	+66%
2013 Q1	Atlanta, GA	25%	2,190	+174%
2013 Q1	Baltimore, MD	11%	447	+20%
2013 Q1	Charlotte, NC	16%	580	+97%
2013 Q1	Chicago, IL	13%	1,003	+70%
2013 Q1	Cincinnati, OH	12%	361	+26%
2013 Q1	Cleveland, OH	11%	288	+23%
2013 Q1	Columbus, OH	10%	274	+47%
2013 Q1	Denver, CO	11%	846	+33%
2013 Q1	Fort Lauderdale, FL	23%	1,490	+73%
2013 Q1	Jacksonville, FL	25%	621	+116%
2013 Q1	Las Vegas, NV	28%	1,482	+104%
2013 Q1	Los Angeles, CA	16%	2,056	+78%
2013 Q1	Miami, FL	40%	2,345	+58%
2013 Q1	Milwaukee, WI	10%	197	-9%
2013 Q1	Minneapolis, MN	12%	753	+61%
2013 Q1	Montgomery County, PA	6%	184	+12%
2013 Q1	Nashville, TN	11%	397	+52%
2013 Q1	New Brunswick, NJ	8%	345	+36%
2013 Q1	New York, NY	15%	1,351	+27%
2013 Q1	Newark, NJ	9%	250	+40%
2013 Q1	Oakland, CA	12%	521	+96%
2013 Q1	Orlando, FL	23%	1,124	+73%
2013 Q1	Philadelphia, PA	10%	290	+19%
2013 Q1	Phoenix, AZ	19%	2,949	+55%
2013 Q1	Portland, OR	10%	428	+29%
2013 Q1	Providence, RI	9%	130	+7%
2013 Q1	Riverside, CA	16%	1,359	+85%
2013 Q1	Sacramento, CA	15%	675	+112%
2013 Q1	San Diego, CA	17%	1,024	+66%
2013 Q1	San Francisco, CA	16%	349	+30%
2013 Q1	San Jose, CA	10%	279	+23%
2013 Q1	Seattle, WA	8%	385	+60%
2013 Q1	Tampa, FL	20%	1,451	+101%
2013 Q1	Virginia Beach, VA	10%	279	+5%
2013 Q1	Warren, MI	9%	458	+61%
2013 Q1	Washington, DC	9%	748	+24%
2013 Q1	West Palm Beach, FL	18%	1,091	+105%
2012 Q4	National	15%	32,818	+77%
2012 Q4	Anaheim, CA	13%	780	+86%
2012 Q4	Atlanta, GA	21%	2,037	+149%
2012 Q4	Baltimore, MD	10%	504	+54%
2012 Q4	Charlotte, NC	14%	566	+66%
2012 Q4	Chicago, IL	11%	1,062	+73%
2012 Q4	Cincinnati, OH	12%	470	+75%
2012 Q4	Cleveland, OH	9%	302	+44%
2012 Q4	Columbus, OH	9%	338	+54%
2012 Q4	Denver, CO	11%	966	+47%
2012 Q4	Fort Lauderdale, FL	24%	1,474	+84%
2012 Q4	Jacksonville, FL	19%	517	+103%
2012 Q4	Las Vegas, NV	24%	1,176	+108%
2012 Q4	Los Angeles, CA	17%	2,499	+105%
2012 Q4	Miami, FL	38%	2,372	+67%
2012 Q4	Milwaukee, WI	8%	205	+17%
2012 Q4	Minneapolis, MN	9%	758	+51%
2012 Q4	Montgomery County, PA	5%	219	+24%
2012 Q4	Nashville, TN	12%	520	+74%
2012 Q4	New Brunswick, NJ	8%	367	+17%
2012 Q4	New York, NY	13%	1,173	+23%
2012 Q4	Newark, NJ	8%	245	+24%
2012 Q4	Oakland, CA	11%	542	+99%
2012 Q4	Orlando, FL	23%	1,103	+72%
2012 Q4	Philadelphia, PA	10%	343	+27%
2012 Q4	Phoenix, AZ	21%	2,933	+110%
2012 Q4	Portland, OR	10%	527	+75%
2012 Q4	Providence, RI	9%	177	+45%
2012 Q4	Riverside, CA	15%	1,264	+92%
2012 Q4	Sacramento, CA	18%	936	+172%
2012 Q4	San Diego, CA	16%	1,058	+86%
2012 Q4	San Francisco, CA	16%	468	+68%
2012 Q4	San Jose, CA	11%	381	+78%
2012 Q4	Seattle, WA	8%	502	+87%
2012 Q4	Tampa, FL	19%	1,445	+105%
2012 Q4	Virginia Beach, VA	10%	282	+19%
2012 Q4	Warren, MI	8%	414	+39%
2012 Q4	Washington, DC	8%	798	+29%
2012 Q4	West Palm Beach, FL	17%	819	+74%
2012 Q3	National	12%	28,427	+42%
2012 Q3	Anaheim, CA	13%	784	+42%
2012 Q3	Atlanta, GA	14%	1,404	+74%
2012 Q3	Baltimore, MD	8%	403	+6%
2012 Q3	Charlotte, NC	11%	487	+54%
2012 Q3	Chicago, IL	9%	909	+29%
2012 Q3	Cincinnati, OH	9%	418	+28%
2012 Q3	Cleveland, OH	8%	305	+14%
2012 Q3	Columbus, OH	7%	298	+13%
2012 Q3	Denver, CO	8%	856	+56%
2012 Q3	Fort Lauderdale, FL	19%	1,024	+31%
2012 Q3	Jacksonville, FL	18%	461	+57%
2012 Q3	Las Vegas, NV	22%	927	+93%
2012 Q3	Los Angeles, CA	14%	1,899	+54%
2012 Q3	Miami, FL	35%	1,849	-2%
2012 Q3	Milwaukee, WI	8%	276	+35%
2012 Q3	Minneapolis, MN	9%	831	+61%
2012 Q3	Montgomery County, PA	5%	228	+13%
2012 Q3	Nashville, TN	9%	465	+50%
2012 Q3	New Brunswick, NJ	6%	356	+16%
2012 Q3	New York, NY	13%	1,325	+15%
2012 Q3	Newark, NJ	7%	279	+23%
2012 Q3	Oakland, CA	9%	480	+38%
2012 Q3	Orlando, FL	19%	856	+16%
2012 Q3	Philadelphia, PA	8%	301	+20%
2012 Q3	Phoenix, AZ	22%	2,931	+109%
2012 Q3	Portland, OR	9%	540	+44%
2012 Q3	Providence, RI	8%	164	+28%
2012 Q3	Riverside, CA	14%	1,021	+51%
2012 Q3	Sacramento, CA	13%	623	+68%
2012 Q3	San Diego, CA	16%	981	+53%
2012 Q3	San Francisco, CA	13%	400	+18%
2012 Q3	San Jose, CA	10%	347	+51%
2012 Q3	Seattle, WA	7%	488	+83%
2012 Q3	Tampa, FL	15%	1,020	+46%
2012 Q3	Virginia Beach, VA	8%	289	+15%
2012 Q3	Warren, MI	7%	410	+33%
2012 Q3	Washington, DC	7%	832	+30%
2012 Q3	West Palm Beach, FL	16%	718	+51%
2012 Q2	National	12%	26,613	+35%
2012 Q2	Anaheim, CA	12%	672	+25%
2012 Q2	Atlanta, GA	12%	1,041	+37%
2012 Q2	Baltimore, MD	9%	535	+35%
2012 Q2	Charlotte, NC	10%	426	+42%
2012 Q2	Chicago, IL	9%	788	+24%
2012 Q2	Cincinnati, OH	8%	357	+0%
2012 Q2	Cleveland, OH	8%	289	+18%
2012 Q2	Columbus, OH	8%	273	-2%
2012 Q2	Denver, CO	9%	851	+51%
2012 Q2	Fort Lauderdale, FL	20%	1,173	+58%
2012 Q2	Jacksonville, FL	14%	350	+31%
2012 Q2	Las Vegas, NV	22%	891	+67%
2012 Q2	Los Angeles, CA	13%	1,666	+29%
2012 Q2	Miami, FL	35%	1,791	+12%
2012 Q2	Milwaukee, WI	8%	246	+31%
2012 Q2	Minneapolis, MN	10%	713	+44%
2012 Q2	Montgomery County, PA	5%	211	+11%
2012 Q2	Nashville, TN	8%	343	+29%
2012 Q2	New Brunswick, NJ	8%	381	+20%
2012 Q2	New York, NY	14%	1,219	+13%
2012 Q2	Newark, NJ	6%	189	-5%
2012 Q2	Oakland, CA	9%	458	+24%
2012 Q2	Orlando, FL	19%	826	+23%
2012 Q2	Philadelphia, PA	8%	280	+1%
2012 Q2	Phoenix, AZ	20%	2,868	+81%
2012 Q2	Portland, OR	9%	466	+37%
2012 Q2	Providence, RI	7%	147	-9%
2012 Q2	Riverside, CA	13%	1,014	+36%
2012 Q2	Sacramento, CA	12%	494	+40%
2012 Q2	San Diego, CA	15%	895	+45%
2012 Q2	San Francisco, CA	15%	460	+35%
2012 Q2	San Jose, CA	10%	382	+47%
2012 Q2	Seattle, WA	7%	459	+51%
2012 Q2	Tampa, FL	15%	1,017	+35%
2012 Q2	Virginia Beach, VA	8%	291	+7%
2012 Q2	Warren, MI	7%	323	+52%
2012 Q2	Washington, DC	7%	876	+40%
2012 Q2	West Palm Beach, FL	15%	763	+41%
2012 Q1	National	13%	19,508	+24%
2012 Q1	Anaheim, CA	13%	449	+28%
2012 Q1	Atlanta, GA	14%	800	+43%
2012 Q1	Baltimore, MD	11%	374	+28%
2012 Q1	Charlotte, NC	12%	295	+16%
2012 Q1	Chicago, IL	10%	589	+26%
2012 Q1	Cincinnati, OH	11%	287	+7%
2012 Q1	Cleveland, OH	11%	234	+53%
2012 Q1	Columbus, OH	9%	187	+3%
2012 Q1	Denver, CO	13%	637	+77%
2012 Q1	Fort Lauderdale, FL	20%	859	+39%
2012 Q1	Jacksonville, FL	16%	287	+35%
2012 Q1	Las Vegas, NV	23%	725	+67%
2012 Q1	Los Angeles, CA	13%	1,157	+15%
