month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201607,37362,"old fort, tn",247200.0,,,14,,,74.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,125.0,,,1727.0,,,333273.0,,,15,,,0.0714,,,
201607,68307,"avoca, ne",439000.0,,,1,,,169.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,144.0,,,3040.0,,,439000.0,,,1,,,,,,
201607,15744,"hamilton, pa",62000.0,,,3,,,274.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,23.0,,,2248.0,,,54667.0,,,3,,,,,,
201607,24483,"vesuvius, va",385000.0,,,7,,,221.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,187.0,,,2000.0,,,491143.0,,,7,,,,,,
201607,50636,"greene, ia",117974.0,,,18,,,76.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,60.0,,,2052.0,,,131163.0,,,18,,,,,,
201607,19001,"abington, pa",249000.0,,,50,,,60.0,,,16,,,0,,,0.0,,,28.0,,,0.2243,,,45.0,,,164.0,,,1586.0,,,286622.0,,,96,,,0.9,,,
201607,57445,"groton, sd",204450.0,,,5,,,40.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,84.0,,,2786.0,,,226950.0,,,5,,,,,,
201607,40220,"louisville, ky",170000.0,,,59,,,31.0,,,52,,,0,,,0.0,,,32.0,,,0.1684,,,88.0,,,97.0,,,1900.0,,,188011.0,,,146,,,1.4915,,,
201607,70358,"grand isle, la",244000.0,,,70,,,142.0,,,0,,,0,,,0.0,,,4.0,,,0.0533,,,1.0,,,118.0,,,2198.0,,,289368.0,,,71,,,0.0143,,,
201607,17866,"coal township, pa",36450.0,,,44,,,112.0,,,4,,,0,,,0.0,,,8.0,,,0.16,,,2.0,,,32.0,,,1252.0,,,55940.0,,,46,,,0.0455,,,
201607,98325,"chimacum, wa",415000.0,,,2,,,9.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,,,,207.0,,,1935.0,,,415000.0,,,2,,,,,,
