year,county_geoid,county_name,total_jobs,resident_workers,pressure_ratio
2017,12097,Osceola County,93905,159040,0.5904489436619719
2017,12099,Palm Beach County,607959,581170,1.046094946401225
2017,12101,Pasco County,119309,201363,0.5925070643564111
2017,12103,Pinellas County,447173,425730,1.0503676038803937
2017,12105,Polk County,233180,273551,0.8524187445851048
2017,12107,Putnam County,16562,26452,0.6261152275820354
2017,12109,St. Johns County,74876,98200,0.7624847250509165
2017,12111,St. Lucie County,75176,116011,0.648007516528605
2017,12113,Santa Rosa County,40971,64799,0.6322782758993194
2017,12115,Sarasota County,165652,149412,1.1086927422161539
2017,12117,Seminole County,201245,218061,0.9228839636615442
2017,12119,Sumter County,26453,24142,1.095725292022202
2017,12121,Suwannee County,11038,14143,0.7804567630629994
2017,12123,Taylor County,6246,7122,0.8770008424599831
2017,12125,Union County,2784,5185,0.5369334619093539
2017,12127,Volusia County,170865,215623,0.7924247413309341
2017,12129,Wakulla County,5441,12979,0.4192156560597889
2017,12131,Walton County,28418,24671,1.1518787240079444
2017,12133,Washington County,6290,9002,0.6987336147522772
2018,12001,Alachua County,131254,104393,1.2573065243838188
2018,12003,Baker County,6523,9386,0.6949712337523972
2018,12005,Bay County,76520,72116,1.0610682788840202
2018,12007,Bradford County,5909,9884,0.5978348846620801
