tract_geoid,total_jobs,resident_workers,pressure_ratio
12011080200,14285,625,22.856
12011080402,1648,1150,1.4330434782608696
12011080403,1252,3253,0.38487549953888717
12011080405,499,1461,0.34154688569472963
12011080406,1414,2413,0.5859925404061335
12011080500,9311,3551,2.622078287806252
12011090102,6121,800,7.65125
12011090103,1580,740,2.135135135135135
12011090104,211,1294,0.16306027820710975
12011090200,394,1664,0.23677884615384615
12011090301,532,1062,0.5009416195856874
12011090303,935,1297,0.7208943716268311
12011090304,671,1831,0.3664664117968323
12011090401,984,2126,0.4628410159924741
12011090403,1354,1600,0.84625
12011090404,719,2367,0.3037600337980566
12011090502,1538,2960,0.5195945945945946
12011090503,3120,1181,2.6418289585097376
12011090504,1696,1478,1.1474966170500676
12011090601,731,1458,0.5013717421124828
12011090602,3318,3522,0.9420783645655877
12011090700,2942,3689,0.797506099213879
12011090801,1466,1956,0.7494887525562373
12011090802,1340,1874,0.7150480256136607
12011090900,8800,2258,3.8972542072630647
12011091000,3326,2006,1.6580259222333
12011091100,1138,2851,0.39915819010873377
12011091201,390,2563,0.15216543113538822
12011091202,106,2299,0.046107003044802086
12011091300,125,2066,0.060503388189738626
12011091400,2364,2913,0.811534500514933
12011091500,484,2744,0.17638483965014579
12011091601,567,1873,0.3027229044313935
12011091602,1178,1538,0.7659297789336801
12011091701,834,1802,0.462819089900111
12011091702,4327,2146,2.016309412861137
12011091802,2425,1496,1.6209893048128343
12011091803,236,2048,0.115234375
12011091804,3205,1041,3.0787704130643614
12011091901,276,1594,0.17314930991217065
12011091903,2897,1594,1.8174404015056462
12011091904,513,784,0.6543367346938775
12011092000,259,1543,0.1678548282566429
12011100103,4354,1456,2.9903846153846154
12011100104,398,1252,0.31789137380191695
12011100105,398,924,0.43073593073593075
12011100106,1102,1105,0.9972850678733032
12011100107,80,947,0.08447729672650475
12011100108,503,1048,0.4799618320610687
12011100201,1183,864,1.369212962962963
12011100203,95,1160,0.08189655172413793
12011100204,655,1233,0.5312246553122466
12011100301,808,1845,0.43794037940379404
12011100302,498,988,0.5040485829959515
12011100400,1986,2657,0.7474595408355288
12011100501,3438,546,6.2967032967032965
12011100502,840,1660,0.5060240963855421
12011100600,335,2818,0.11887863733144073
12011100700,1991,2784,0.7151580459770115
12011100801,737,1779,0.4142776840921866
12011100803,446,1773,0.251551043429216
12011100804,372,2124,0.1751412429378531
12011110100,975,3242,0.30074028377544726
12011110301,2067,3267,0.6326905417814509
12011110303,818,2146,0.3811742777260019
12011110307,1080,2695,0.4007421150278293
12011110308,1048,3179,0.3296634161686065
12011110309,7601,2933,2.591544493692465
12011110311,892,3451,0.25847580411474935
12011110312,3247,3641,0.8917879703378193
12011110313,677,2794,0.24230493915533285
12011110319,947,3147,0.30092151255163646
12011110321,11091,2834,3.913549752999294
12011110323,1908,3611,0.5283854887842703
12011110326,1629,2425,0.6717525773195876
12011110327,5997,3014,1.9897146648971467
12011110328,1425,2711,0.5256362965695316
12011110330,294,1790,0.16424581005586592
12011110332,1802,2734,0.6591075347476225
12011110333,2193,3220,0.681055900621118
12011110334,3938,1398,2.816881258941345
12011110337,1666,4640,0.359051724137931
12011110338,1309,2063,0.6345128453708192
12011110339,843,2168,0.38883763837638374
12011110341,886,1865,0.47506702412868634
12011110344,194,1754,0.11060433295324971
12011110345,5909,2723,2.170033051781124
12011110346,189,2052,0.09210526315789473
12011110347,1747,2538,0.6883372734436565
12011110348,137,2713,0.050497604128271284
12011110349,10161,2193,4.633378932968537
12011110350,466,1535,0.3035830618892508
12011110351,538,1548,0.3475452196382429
12011110352,1521,1678,0.9064362336114422
12011110353,483,2765,0.17468354430379746
12011110354,1729,1682,1.0279429250891796
12011110355,2125,1406,1.5113798008534851
12011110356,138,2067,0.06676342525399129
12011110357,963,3025,0.31834710743801653
12011110358,204,3198,0.06378986866791744
12011110359,789,3140,0.25127388535031847
12011110360,4293,2856,1.5031512605042017
12011110361,1479,4907,0.30140615447320157
12011110362,1101,3318,0.3318264014466546
12011110363,324,2309,0.14032048505846687
12011110364,226,3393,0.06660772178013558
12011110365,167,3122,0.053491351697629724
12011110366,191,2367,0.08069286016054077
12011110367,756,3239,0.23340537202840383
12011110368,76,1704,0.04460093896713615
12011110402,492,2613,0.18828932261768083
12011110403,63,2782,0.022645578720345075
12011110404,143,3163,0.04521024343977237
12011110501,165,1915,0.08616187989556136
